bin	CHR	START	END	SRR089377	SRR053605	SRR089397	SRR054614	SRR089402	SRR053633	SRR053617	SRR054608	SRR053608	SRR054602	SRR089401	SRR053668	SRR054606	SRR054613	SRR053631	SRR054575	SRR053611	SRR053602	SRR054610
2	chr1	1833663	2345598	0.88838612368	1.09848484848	0.952243958573	0.82619775739	5.52293577982	1.11502890173	1.05588235294	0.786697247706	1.19846153846	0.805381165919	3.62836438923	1.12246963563	1.2901459854	0.922043010753	1.0701754386	4.30442176871	0.945454545455	1.0935828877	0.813095238095
4	chr1	2946627	3452945	1.10055304173	1.1148989899	1.19735327963	0.597859327217	4.93883792049	1.03468208092	1.14705882353	0.911314984709	1.07692307692	0.765919282511	3.31884057971	0.974696356275	1.25364963504	0.921370967742	1.24561403509	5.50170068027	0.792929292929	1.04812834225	0.721428571429
6	chr1	4112609	4622985	1.23127199598	1.1553030303	1.20713463751	0.780835881753	6.68399592253	1.34855491329	1.27647058824	0.873853211009	1.21076923077	0.94798206278	4.17598343685	1.06578947368	1.29379562044	0.936827956989	1.45454545455	5.1037414966	1.13636363636	1.17245989305	0.783928571429
7	chr1	4622984	5133470	1.04776269482	1.05303030303	1.1334867664	0.804791029562	5.49031600408	1.13699421965	1.08725490196	0.826452599388	1.11076923077	0.844843049327	3.90683229814	1.13562753036	1.45802919708	0.807123655914	1.27511961722	4.78401360544	1.09595959596	1.08556149733	0.749404761905
8	chr1	5133469	5640704	1.00251382604	1.18308080808	1.28883774453	0.734454638124	5.29153924567	1.2710982659	1.12647058824	0.794342507645	1.52	0.764125560538	3.36749482402	1.22975708502	1.17700729927	0.667338709677	1.31020733652	4.25	1.04848484848	1.19251336898	0.952976190476
9	chr1	5640703	6148783	1.16440422323	1.60227272727	1.22669735328	0.940876656473	4.18450560652	1.51965317919	1.46666666667	0.82874617737	1.29076923077	0.870852017937	3.6966873706	1.0536437247	1.56751824818	1.02150537634	1.29984051037	3.5425170068	1.24646464646	1.21390374332	0.77380952381
10	chr1	6148782	6661103	0.80291603821	0.90404040404	0.844073647871	0.576962283384	4.19469928644	1.02543352601	0.877450980392	0.594801223242	0.989230769231	0.648430493274	2.53623188406	1.00506072874	1.1496350365	0.561155913978	1.23684210526	3.38605442177	1.1	0.931818181818	0.641071428571
11	chr1	6661102	7166066	1.0930115636	0.953282828283	0.925201380898	0.693679918451	4.67991845056	1.13757225434	0.869607843137	0.730122324159	1.09538461538	0.805381165919	3.25362318841	1.05971659919	1.17700729927	0.726478494624	1.26076555024	3.42857142857	0.879797979798	1.09893048128	0.852976190476
12	chr1	7166065	7681749	1.10608345902	1.11237373737	1.02589182969	0.787971457696	4.88073394495	1.13699421965	1.55294117647	1.07186544343	1.17846153846	1.02959641256	4.14699792961	0.971659919028	1.58576642336	0.827956989247	1.50717703349	3.70918367347	1.12929292929	1.37032085561	1.02380952381
13	chr1	7681748	8188001	0.984917043741	0.997474747475	0.982738780207	0.648318042813	3.36901121305	0.95549132948	0.81568627451	0.776758409786	0.975384615385	0.678923766816	2.72463768116	1.03340080972	1.10948905109	0.809139784946	0.95374800638	3.01870748299	0.927272727273	0.970588235294	0.594642857143
